,hr,rr,ecg,gsr,temperature
1602587566.1572,63.0,979.0,324.0,424.9999999999392,34.31
1602587566.1592,63.0,979.0,322.0,424.9999999999392,34.31
1602587566.1612,63.0,979.0,322.0,424.9999999999392,34.31
1602587566.1632,63.0,979.0,317.0,424.9999999999392,34.31
1602587566.1652,63.0,979.0,303.0,424.9999999999392,34.31
1602587566.1672,63.0,979.0,295.0,424.9999999999392,34.31
1602587566.1692,63.0,979.0,298.0,424.9999999999392,34.31
1602587566.1712,63.0,979.0,293.0,424.9999999999392,34.31
1602587566.1733,63.0,979.0,286.0,424.9999999999392,34.31
1602587566.1753,63.0,979.0,286.0,424.9999999999392,34.31
1602587566.1772,63.0,979.0,286.0,424.9999999999392,34.31
1602587566.1792,63.0,979.0,286.0,424.9999999999392,34.31
1602587566.1812,63.0,979.0,278.0,424.9999999999392,34.31
1602587566.1832,63.0,979.0,269.0,424.9999999999392,34.31
1602587566.1852,63.0,979.0,266.0,424.9999999999392,34.31
1602587566.1872,63.0,979.0,261.0,424.9999999999392,34.31
1602587566.1892,63.0,979.0,254.0,424.9999999999392,34.31
1602587566.6155,63.0,979.0,247.0,424.9999999999392,34.31
1602587566.616,63.0,979.0,242.0,424.9999999999392,34.31
1602587566.6178,63.0,979.0,247.0,424.9999999999392,34.31
1602587566.6195,63.0,979.0,249.0,424.9999999999392,34.31
1602587566.6215,63.0,979.0,237.0,424.9999999999392,34.31
1602587566.6235,63.0,979.0,220.0,424.9999999999392,34.31
1602587566.6255,63.0,979.0,218.0,424.9999999999392,34.31
1602587566.6275,63.0,979.0,223.0,424.9999999999392,34.31
1602587566.6295,63.0,979.0,227.0,424.9999999999392,34.31
1602587566.6315,63.0,979.0,220.0,424.9999999999392,34.31
1602587566.6335,63.0,979.0,208.0,424.9999999999392,34.31
1602587566.6355,63.0,979.0,206.0,424.9999999999392,34.31
1602587566.6375,63.0,979.0,210.0,424.9999999999392,34.31
1602587566.6395,63.0,979.0,210.0,424.9999999999392,34.31
1602587566.6414,63.0,979.0,210.0,424.9999999999392,34.31
1602587566.6435,63.0,979.0,215.0,424.9999999999392,34.31
1602587566.6455,63.0,979.0,218.0,424.9999999999392,34.31
1602587566.6475,63.0,979.0,210.0,424.9999999999392,34.31
1602587566.6495,63.0,979.0,210.0,424.9999999999392,34.31
1602587566.6515,63.0,979.0,208.0,424.9999999999392,34.31
1602587566.6535,63.0,979.0,203.0,424.9999999999392,34.31
1602587566.6555,63.0,979.0,196.0,424.9999999999392,34.31
1602587566.6575,63.0,979.0,201.0,424.9999999999392,34.31
1602587566.6595,63.0,979.0,215.0,424.9999999999392,34.31
1602587566.6615,63.0,979.0,230.0,424.9999999999392,34.31
1602587566.6636,63.0,979.0,249.0,424.9999999999392,34.31
1602587566.6655,63.0,979.0,242.0,424.9999999999392,34.31
1602587566.6675,63.0,979.0,208.0,424.9999999999392,34.31
1602587566.6695,63.0,979.0,208.0,424.9999999999392,34.31
1602587566.6715,63.0,979.0,227.0,424.9999999999392,34.31
1602587566.6735,63.0,979.0,223.0,424.9999999999392,34.31
1602587566.6755,63.0,979.0,208.0,424.9999999999392,34.31
1602587566.6775,63.0,979.0,201.0,424.9999999999392,34.31
1602587566.6795,63.0,979.0,189.0,424.9999999999392,34.31
1602587566.6815,63.0,979.0,179.0,424.9999999999392,34.31
1602587566.6835,63.0,979.0,184.0,424.9999999999392,34.31
1602587566.6855,63.0,979.0,191.0,424.9999999999392,34.31
1602587566.6876,63.0,979.0,196.0,424.9999999999392,34.31
1602587566.6894,63.0,979.0,198.0,424.9999999999392,34.31
1602587566.6914,63.0,979.0,184.0,424.9999999999392,34.31
1602587566.6935,63.0,979.0,210.0,424.9999999999392,34.31
1602587566.6955,63.0,979.0,385.0,424.9999999999392,34.31
1602587566.6976,63.0,979.0,666.0,424.9999999999392,34.31
1602587566.6995,63.0,979.0,686.0,424.9999999999392,34.31
